Question,Type,Options,Answer
"How many years' experience do you have as an AWS Cloud Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Development Specialist?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years of front end development experience do you have?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Node JS Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Berapa tahun pengalaman kerjamu di bidang digital marketing?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"Library/framework back end apa saja di bawah ini yang bisa kamu gunakan?","checklist","CodeIgniter | Yii | Joomla | CakePHP | Zend | Django | Ruby on Rails | Struts 2 | Symfony | Apache | SciPy | Play | NumPy | Grails | Tidak satupun","Tidak satupun"
"How many years experience in Full Stack Java Development do you have?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Software pelacakan issue dan bug apa saja di bawah ini yang bisa kamu gunakan?","checklist","Team Foundation Server (TFS) | Kayako | ClearQuest | JIRA | Wrike | SysAid | Pivotal Tracker | Bugzilla | HP Quality Centre | FogBugz | Trac | Rational Team Concert | Tidak satupun","Tidak satupun"
"Berapa tahun pengalaman kerjamu sebagai pengembang aplikasi?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"How many years' experience do you have as an Internet of Things Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as an Angular Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Berapa tahun pengalaman kerjamu sebagai manajer teknologi informasi?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"Berapa tahun pengalaman kerjamu sebagai pengembang produk?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"Berapa tahun pengalaman kerjamu sebagai pengembang java?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"How many years' experience do you have as a Backend Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Ruby on Rails Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Which of the following accounting software are you experienced with?","checklist","Keysoft ERP | Accurate | Zahir | MYOB | Microsoft Dynamics | SAP Business One | Quickbooks | Oracle | Quicken | Sleekr | SQL | None of these","None of these"
"Berapa tahun pengalaman kerjamu di Industri Teknik?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"How many years' experience do you have as an Information Technology Support Role?","text","","0"
"How many years' experience do you have as a Website Developer?","text","","1"
"How many years' experience do you have as a Full Stack .Net Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Software Engineering Intern?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years of Cloud Engineering experience do you have?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"How many years' experience do you have as a .Net Backend Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Seberapa mahir kamu dengan keahlian berikut ini? - Pengembangan Aplikasi Mobile","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - Jaringan","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Kubernetes","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - manajemen sistem komputasi awan","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Otomatisasi QA","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - Pengujian QA","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - Cloud Computing","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Pemecahan Masalah","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Apakah kamu tinggal di Depok pada saat ini?","radiobutton","Ya | Tidak","Tidak"
"Seberapa mahir kamu dengan keahlian berikut ini? - Pemeliharaan Sistem","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - Kemampuan Komunikasi","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - Bahasa Pemrograman","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Ceritakan pengalaman Anda membuat sistem HRIS/ERP dari nol. Sebutkan juga tech stack (framework Frontend & Backend) yang Anda gunakan.","text","","Saya belum memiliki pengalaman langsung membangun sistem HRIS atau ERP dari nol. Saya memiliki pengalaman pengembangan aplikasi web menggunakan Laravel dan PHP pada backend, serta JavaScript, React, Next.js, Vue.js, atau Svelte pada frontend, dengan database MySQL, PostgreSQL, atau MongoDB."
"Lampirkan link portofolio, GitHub, atau live project dari aplikasi atau sistem kompleks yang pernah Anda kembangkan sebelumnya.","text","","https://github.com/itzluthfi"
"Berapa ekspektasi gaji bulanan (Gross/Nett) Anda, dan berapa lama waktu notice period yang dibutuhkan sebelum bisa bergabung?","text","","Ekspektasi gaji Rp 4500000 gross per bulan. Saya dapat bergabung immediately tanpa notice period."
"Seberapa mahir kamu dengan keahlian berikut ini? - Whatsapp Business API","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Fullstack Development","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - Pengembangan Frontend","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"How many years' experience do you have as a Presales Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as an Integration Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Berapa Nominal Gaji terakhir Anda?","text","","Tidak diketahui"
"Seberapa mahir kamu dengan keahlian berikut ini? - SAP","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Apakah Anda dapat bergabung secara cepat/ASAP, atau jika terdapat notice, berapa bulan Notice Anda?","text","","Immediately"
"How many years' experience do you have as a Software Project Manager?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have with project planning and scheduling?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Which of the following PMI certifications have you completed?","checklist","Project Management Professional (PMP) | Program Management Professional (PgMP) | Portfolio Management Professional (PfMP) | Certified Associate in Project Management (CAPM) | PMI Professional in Business Analysis (PMI-PBA) | PMI Agile Certified Practitioner (PMI-ACP) | PMI Risk Management Professional (PMI-RMP) | PMI Scheduling Professional (PMI-SP) | No such certification","No such certification"
"How much experience do you have in the following industry? - Manufacturing","radiobutton","Tidak Berpengalaman | <1 thn | 1 - 3 thn | 3 - 5 thn | 5 - 10 thn | 10+ thn","Tidak Berpengalaman"
"How much experience do you have in the following industry? - Fast-Moving Consumer Goods (FMCG)","radiobutton","Tidak Berpengalaman | <1 thn | 1 - 3 thn | 3 - 5 thn | 5 - 10 thn | 10+ thn","Tidak Berpengalaman"
"How many years' experience do you have as a Robotics Software Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as an Artificial Intelligence Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as an Information Technology Project Manager?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Robotic Process Automation Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years of work experience do you have with Back-End Web Development?","text","","1"
"Have you completed the following level of education: Bachelor's Degree?Have you completed the following level of education: Bachelor's Degree? Required","radiobutton","Yes | No","No"
"Are you comfortable working in an onsite setting?Are you comfortable working in an onsite setting? Required","radiobutton","Yes | No","Yes"
"We must fill this position urgently. Can you start immediately?We must fill this position urgently. Can you start immediately? Required","radiobutton","Yes | No","Yes"
"What is your level of proficiency in English?What is your level of proficiency in English?","dropdown","None | Conversational | Professional | Native or bilingual","Conversational"
"Do you have experience in building, maintaining, or modifying CI/CD pipelines?Do you have experience in building, maintaining, or modifying CI/CD pipelines?","dropdown","Yes | No","No"
"How many years of work experience do you have with .NET?","text","","0"
"How many years of work experience do you have with Unity?","text","","0"
"Are you willing to be placed in banking industry?Are you willing to be placed in banking industry?","dropdown","Yes | No","Yes"
"What is your current notice period? Immediately (0) / 2 Weeks (2) / 1 Month (1) / More than a month (00)","text","","0"
"What is your expected salary?","text","","4500000"
"How many years of work experience do you have with Database Administration?","text","","0"
"Are you willing to undergo a background check, in accordance with local law/regulations?Are you willing to undergo a background check, in accordance with local law/regulations? Required","radiobutton","Yes | No","Yes"
"How many years of work experience do you have with Agile & Waterfall Methodologies?","text","","0"
"How many years of work experience do you have with Project Delivery?","text","","1"
"How many years of work experience do you have with Software Development Life Cycle (SDLC)?","text","","1"
"How many years of work experience do you have with OutSystems?","text","","0"
"How many years of work experience do you have with Jira?","text","","0"
"How many years of work experience do you have with Microsoft Project?","text","","0"
"Since this is a remote role, the client requires candidates who can use their own machine on the project. Do you have a laptop that you can use for this project?Since this is a remote role, the client requires candidates who can use their own machine on the project. Do you have a laptop that you can use for this project?","dropdown","Yes | No","Yes"
"What is your notice period in days? Type ""0"" if you're an immediate starter.","text","","0"
"What is your current monthly rate (USD)?","text","","280"
"What is your expected rate (USD)?","text","","280"
"How many years of experience do you have working with large or highly complex codebases, including architecture optimization and scalability improvements?","text","","1"
"How many years of experience do you have building AI integrations and the server-side/backend infrastructure supporting AI-powered applications?","text","","0"
"How many years of work experience do you have with Amazon S3?","text","","0"
"Are you comfortable working in a hybrid setting?Are you comfortable working in a hybrid setting? Required","radiobutton","Yes | No","Yes"
"Are you comfortable commuting to this job's location?Are you comfortable commuting to this job's location? Required","radiobutton","Yes | No","Yes"
"What is your expectation salary?","text","","4500000"
"How many years of work experience do you have with Grafana, SolarWinds Orion, Datadog?","text","","0"
"How many years of work experience do you have as Platform Analyst?","text","","0"
"How many years of work experience do you have with JSON?","text","","1"
"Are you comfortable working in a full work from office setting, Monday-Friday? (Our office is in SCBD area)Are you comfortable working in a full work from office setting, Monday-Friday? (Our office is in SCBD area)","dropdown","Yes | No","No"
"Are you legally authorized to work in Indonesia?Are you legally authorized to work in Indonesia? Required","radiobutton","Yes | No","Yes"
"How many years of work experience do you have with Closed-Circuit Television (CCTV)?","text","","0"
"How many years of work experience do you have with Access Control Management?","text","","0"
"How many years of work experience do you have with Security Systems?","text","","0"
"How many years of Project Management experience do you currently have?","text","","0"
"Will you now or in the future require sponsorship for employment visa status?Will you now or in the future require sponsorship for employment visa status? Required","radiobutton","Yes | No","No"
"How many years of work experience do you have with Jenkins?","text","","0"
"How many years of work experience do you have with Kubernetes?","text","","0"
"How many years of Computer Games experience do you currently have?","text","","0"
"How many years of work experience do you have with GitHub?","text","","1"
"What term best describes your gender identity?What term best describes your gender identity?","radiobutton","Woman | Man | Preferred option not listed | Prefer not to disclose","Prefer not to disclose"
"Do you have a disability? Do you have a disability?","radiobutton","Yes | No | Prefer not to disclose","Prefer not to disclose"
"Do you currently have the right to work in the country where the job you are applying for is located? Do you currently have the right to work in the country where the job you are applying for is located? Required","radiobutton","Yes | No","Yes"
"Do you now, or will you in the future, require sponsorship for employment visa status to work in the country where the job you are applying for is located? Do you now, or will you in the future, require sponsorship for employment visa status to work in the country where the job you are applying for is located? Required","radiobutton","Yes | No","No"
"How many years of work experience do you have with ASP.NET?","text","","0"
"How many years of work experience do you have with Security Information and Event Management (SIEM)?","text","","0"
"How many years of work experience do you have with Powershell?","text","","0"
"How many years of Computer and Network Security experience do you currently have?","text","","0"
"How many years of work experience do you have with Bash?","text","","0"
"Berapa tahun pengalaman Anda bekerja di e-commerce atau marketplace platform?","text","","0"
"How many years of work experience do you have with Sales?","text","","0"
"How many years of work experience do you have with Relationship Marketing?","text","","0"
"How many years of work experience do you have with Interpersonal Communication?","text","","1"
"Are you available to work as an independent contractor / service contract (no permanent employment)? (Yes/No)Are you available to work as an independent contractor / service contract (no permanent employment)? (Yes/No)","dropdown","Yes | No","Yes"
"Can you commit to full-time hours with fixed daily responsibilities (not project-based)? (Yes/No) Can you commit to full-time hours with fixed daily responsibilities (not project-based)? (Yes/No)","dropdown","Yes | No","Yes"
"Is the salary range of SGD 900–1,500/month acceptable for your experience level? (Yes/No) Is the salary range of SGD 900–1,500/month acceptable for your experience level? (Yes/No)","dropdown","Yes | No","Yes"
"How many years of experience do you have designing and implementing offline-first architectures with data synchronization?","text","","0"
"How many years of professional software development experience do you have?","text","","1"
"How many years have you worked with Flutter in production environments?","text","","0"
"How long have you been developing applications for iOS using Flutter? (Requirement: 3+ years)","text","","0"
"How many years of experience do you have developing for Android with Flutter? (Requirement: 3+ years)","text","","0"
"How long have you worked with Flutter Web development?","text","","0"
"How many years of experience do you have with state management in Flutter (BLoC, Cubit, Riverpod, or Provider)?","text","","0"
"How long have you been working with local persistence technologies (SQLite, Drift, Isar, or Hive)?","text","","0"
"Are you comfortable working fully on-site in North Jakarta?Are you comfortable working fully on-site in North Jakarta?","dropdown","Yes | No","No"
"Are you willing to use your own device for work?Are you willing to use your own device for work?","dropdown","Yes | No","No"
"What is your current gross salary?","text","","Tidak disebutkan"
"What is your expected gross salary?","text","","4500000"
"How many days notice do you need?","text","","0"
"Are you willing to work fully onsite (WFO) at our Head Office in Mampang?Are you willing to work fully onsite (WFO) at our Head Office in Mampang?","dropdown","Yes | No","No"
"What is your current Nett salary?","text","","Tidak disebutkan"
"What is your expected Nett salary?","text","","4500000"
"What is your notice period?","text","","Immediately"
"How many years of work experience do you have with Presales Technical Support?","text","","0"
"Do you have hands-on experience building applications using Large Language Models (LLMs) or Generative AI?Do you have hands-on experience building applications using Large Language Models (LLMs) or Generative AI?","dropdown","Yes | No","No"
"Have you deployed AI or ML applications into a production environment?Have you deployed AI or ML applications into a production environment?","dropdown","Yes | No","No"
"How many years of work experience do you have with LangChain?","text","","0"
"How many years of work experience do you have with Retrieval-Augmented Generation (RAG)?","text","","0"
"How many years of work experience do you have with Agentic AI Development?","text","","0"
"How many years of hands-on experience do you have in AI/ML Engineering, AI Application Development, or Workflow Automation?","text","","0"
"If you are accepted, what is your expected gross salary?","text","","4500000"
"I give my consent to the processing of the above personal data for recruitment purposes.I give my consent to the processing of the above personal data for recruitment purposes.","dropdown","Yes | No","Yes"
"How many years of work experience do you have with Trello?","text","","0"
"How many years of work experience do you have with webMethods Integration Server?","text","","0"
"How many years of work experience do you have with Middleware?","text","","0"
"How many years of Pharmaceutical Manufacturing experience do you currently have?","text","","0"
"How many Years of Computer Vision experience do you have?","text","","0"
"What is your current Salary? (Annually)","text","","0"
"What is your expected Salary? (Annually)","text","","54000000"
"Please state your current/latest drawn salary (Gross)","text","","N/A"
"Current salary (IDR)","text","","N/A"
"Gross Expected salary (IDR)","text","","4500000"
"How many years of work experience do you have with Content Security?","text","","0"
"How many years of work experience do you have with Communication?","text","","1"
"Are you willing to work night shift? Are you willing to work night shift?","dropdown","Yes | No","No"
"What is your expected monthly compensation in local currency? (IDR)","text","","4500000"
"How long is your notice period? (in months)","text","","0"
"How many years of experience do you have in Technical Support Engineer?","text","","0"
"How many years of experience do you have using Next.js or another frontend frameworks?","text","","1"
"What is your current gross salary? (in IDR)","text","","N/A"
"What is your expected gross salary? (in IDR)","text","","4500000"
"How long is your notice periode? (in weeks)","text","","0"
"How many years' experience do you have as a Rust Developer?","text","","0"
"How many years of work experience do you have with Hospitality Industry?","text","","0"
"Please state your current/last salary (in gross)?","text","","Tidak disebutkan"
"Please state your expect salary (in gross)?","text","","4500000"
"How many years of work experience do you have with Clean Coding?","text","","1"
"How many years of work experience do you have with Nuxt.js?","text","","0"
"Are you available to join within less than one month?Are you available to join within less than one month?","dropdown","Yes | No","Yes"
"How many years of work experience do you have with Mechanical, Electrical, and Plumbing (MEP)?","text","","0"
"How many years of Construction experience do you currently have?","text","","0"
"What is your expected monthly salary (in IDR) for this role?","text","","4500000"
"Pernahkah Anda membangun aplikasi berbasis web? Pernahkah Anda membangun aplikasi berbasis web?","dropdown","Yes | No","Yes"
"Apakah Anda pernah memakai salah satu dari software architecture front end React/VueApakah Anda pernah memakai salah satu dari software architecture front end React/Vue","dropdown","Yes | No","Yes"
"Apakah Anda pernah memakai salah satu dari software architecture Backend Python/Django/FastAPIApakah Anda pernah memakai salah satu dari software architecture Backend Python/Django/FastAPI","dropdown","Yes | No","Yes"
"Apakah Anda pernah memakai salah satu dari software architecture Database PostgreSQL? Apakah Anda pernah memakai salah satu dari software architecture Database PostgreSQL?","dropdown","Yes | No","Yes"
"Apakah Anda pernah memakai salah satu dari software architecture dengan Report PDF GeneratorApakah Anda pernah memakai salah satu dari software architecture dengan Report PDF Generator","dropdown","Yes | No","No"
"Apakah Anda pernah membuat API atau integrasi dengan sistem lain seperti REST API, ERP integration, Odoo integration Authentication?Apakah Anda pernah membuat API atau integrasi dengan sistem lain seperti REST API, ERP integration, Odoo integration Authentication?","dropdown","Yes | No","Yes"
"Berapa tahun pengalaman Anda sebagai Software Developer?","text","","1"
"Berapa project software yang pernah Anda kerjakan","text","","Tidak diketahui"
"How many years of Backend Engineering experience do you currently have?","text","","1"
"What is your current/last take-home pay?","text","","Tidak diketahui"
"What is your expected take-home pay?","text","","4500000"
"What is your notice period, in days?","text","","0"
"Willing to work onsite in BSD City area (OCBC Space)Willing to work onsite in BSD City area (OCBC Space)","dropdown","Yes | No","No"
"How many years of work experience do you have with Golang?","text","","0"
"How many years of work experience do you have with Swift (Programming Language)?","text","","0"
"How many years' experience do you have as a Software Quality Assurance Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Berapa tahun pengalaman kerjamu sebagai Spesialis IT?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"How many years' experience do you have as a Mechanical Design Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Which of the following CAD software do you have experience with?","checklist","hsbCAD | Revit | MiTek | Pryda | SOLIDWORKS | ArchiCAD | AutoCAD | 12D | CADworks | Autodesk Revit MEP | None of these","None of these"
"How many years' experience do you have as a sales executive?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as an Insurance Sales Manager?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years of work experience do you have with PyTorch?","text","","0"
"How many years of work experience do you have with Machine Tools?","text","","0"
"Would you share your expectacy salary for apply this positions?","text","","4500000"
"Your last salary in gross?","text","","8000000"
"If accepted, how much salary do you expect? *in gross","text","","4500000"
"How many years' experience do you have as a Business Rules Analyst?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Berapa tahun pengalaman kerjamu sebagai manajer proyek?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"Country","dropdown","Afghanistan | Åland Islands | Albania | Algeria | American Samoa | Andorra | Angola | Anguilla | Antarctica | Antigua & Barbuda | Argentina | Armenia | Aruba | Australia | Austria | Azerbaijan | Bahamas | Bahrain | Bangladesh | Barbados | Belarus | Belgium | Belize | Benin | Bermuda | Bhutan | Bolivia | Bosnia & Herzegovina | Botswana | Brazil | British Indian Ocean Territory | British Virgin Islands | Brunei | Bulgaria | Burkina Faso | Burundi | Cambodia | Cameroon | Canada | Cape Verde | Caribbean Netherlands | Cayman Islands | Central African Republic | Chad | Chile | China | Colombia | Comoros | Congo - Brazzaville | Congo - Kinshasa | Cook Islands | Costa Rica | Côte d’Ivoire | Croatia | Cuba | Curaçao | Cyprus | Czechia | Denmark | Djibouti | Dominica | Dominican Republic | Ecuador | Egypt | El Salvador | Equatorial Guinea | Eritrea | Estonia | Eswatini | Ethiopia | Falkland Islands (Islas Malvinas) | Faroe Islands | Fiji | Finland | France | French Guiana | French Polynesia | French Southern Territories | Gabon | Gambia | Georgia | Germany | Ghana | Gibraltar | Greece | Greenland | Grenada | Guadeloupe | Guam | Guatemala | Guernsey | Guinea | Guinea-Bissau | Guyana | Haiti | Honduras | Hong Kong | Hungary | Iceland | India | Indonesia | Iran | Iraq | Ireland | Isle of Man | Israel | Italy | Jamaica | Japan | Jersey | Jordan | Kazakhstan | Kenya | Kiribati | Kuwait | Kyrgyzstan | Laos | Latvia | Lebanon | Lesotho | Liberia | Libya | Liechtenstein | Lithuania | Luxembourg | Macao | Madagascar | Malawi | Malaysia | Maldives | Mali | Malta | Marshall Islands | Martinique | Mauritania | Mauritius | Mayotte | Mexico | Micronesia | Moldova | Monaco | Mongolia | Montenegro | Montserrat | Morocco | Mozambique | Myanmar (Burma) | Namibia | Nauru | Nepal | Netherlands | New Caledonia | New Zealand | Nicaragua | Niger | Nigeria | Niue | Northern Mariana Islands | North Macedonia | Norway | Oman | Pakistan | Palau | Palestine | Panama | Papua New Guinea | Paraguay | Peru | Philippines | Pitcairn Islands | Poland | Portugal | Puerto Rico | Qatar | Réunion | Romania | Russia | Rwanda | Samoa | San Marino | São Tomé & Príncipe | Saudi Arabia | Senegal | Serbia | Seychelles | Sierra Leone | Singapore | Sint Maarten | Slovakia | Slovenia | Solomon Islands | Somalia | South Africa | South Georgia & South Sandwich Islands | South Korea | South Sudan | Spain | Sri Lanka | St Barthélemy | St Helena | St Kitts & Nevis | St Lucia | St Martin | St Pierre & Miquelon | St Vincent & the Grenadines | Sudan | Suriname | Svalbard & Jan Mayen | Sweden | Switzerland | Syria | Taiwan | Tajikistan | Tanzania | Thailand | Timor-Leste | Togo | Tonga | Trinidad & Tobago | Tunisia | Türkiye | Turkmenistan | Turks & Caicos Islands | Tuvalu | Uganda | Ukraine | United Arab Emirates | United Kingdom | United States | Uruguay | US Outlying Islands | US Virgin Islands | Uzbekistan | Vanuatu | Vatican City | Venezuela | Vietnam | Wallis & Futuna | Western Sahara | Yemen | Zambia | Zimbabwe","Indonesia"
"Use your Indeed Resume","radiobutton","Use your Indeed Resume | Yoga_Adi_Saputra_ATS_CV.pdf","Use your Indeed Resume"
"First name *","text","","LUTHFI"
"Last name *","text","","SHIDQI HABIBULLOH"
"phone","text","","089507370805"
"Age","number","","24"
"Agree","checklist","Agree","Agree"
"Save my answers for pre-filling","checklist","Save my answers for pre-filling","Save my answers for pre-filling"
"Berapa tahun pengalaman kerjamu di bidang Pengembangan Produk?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"Berapa tahun pengalaman kerjamu di bidang Pengembangan Back-End?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"How many years' experience do you have as an E-Commerce Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Front End React Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Current Salary","text","","Tidak disebutkan"
"How many years' experience do you have as an Application Support Specialist?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a quality assurance engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Which of the following manufacturing user acceptance tests do you have experience with?","checklist","Factory Acceptance Testing | Site Acceptance Testing | None of these","None of these"
"Which of the following statements best describes your right to work in Malaysia?","dropdown","I'm a Malaysian citizen | I'm a Malaysian permanent resident | I have a Long Term Visit Pass (LTVP) with permission to work | I have a Residence Pass-Talent (RP-T) from Talent Corp | I have a visa that lets me stay in Malaysia, but not work | I require sponsorship or a current job offer to work for a new employer (e.g. Employment Pass, Temporary Employment Pass)","I require sponsorship or a current job offer to work for a new employer (e.g. Employment Pass, Temporary Employment Pass)"
"How many years' experience do you have as a Maintenance Specialist?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Data Centre and Network Operations Operator?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Data Centre Operator?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years of IT Operations experience do you have?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Seberapa mahir kamu dengan keahlian berikut ini? - Google Cloud Platform","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
